age_range,mean_start,sd_start,mean_end,sd_end,n
18-21,4,NA,3,NA,1
22-24,3.4285714285714284,0.5345224838248488,3.142857142857143,0.3779644730092272,7
25-30,3.7,0.48304589153964794,3.8,0.6324555320336759,10
31-35,1,NA,1,NA,1
